유형	인물	대사
talk	나	변하지 않는 사실은, 대리님이 과장님이랑 함께 /저까지도 죽이려고 했다는 거에요.
narration	나레이션	(대리의 다크서클 위로 눈이 충혈돼 빨갛게 변한다.)
talk	대리	제가 이 친구를 왜 죽이려고 합니까! /아니, 애초에 제가 그깟 일로 과장님을 왜 죽이겠습니까!!
think	나	마지막 발악을 하시는 건가. 하지만 생각할 수록 분하다.
talk	나	대리님, 생각해보세요. 제가 결혼을 앞둔 멀쩡한 회사원인데 /어떻게 과장님이랑 동반자살을 했겠습니까...
talk	나	이렇게 어이없이 죽을 뻔했다는 사실이 너무 소름 돋아요./대리님이 내리기도 전에 약효가 나타나버려서/같이 사고를 당하게 된 건 참 유감이네요.
talk	경찰	류규원 씨. 동기나 정황이나 증거나, 이렇게 저렇게 다/따져보았을 때 안타깝지만 류규원 씨가 범인으로 보입니다.
talk	경찰	평소에 원한을 가지고 있던 과장에게 살인을 결심해서 /이전에 처방받고 남아있던 졸피뎀을 가져왔고,
talk	경찰	근처에 출장을 간다는 명목으로 나현빈 씨와 과장의/출장길에 함께 올라 휴게소에서 몰래/나현빈 씨 커피캔에 졸피뎀을 넣으셨고요.
talk	경찰	이후 과장이 커피를 마시고, 본인은 휴게소 근처에 있던 /목적지에서 내리려고 했지만 약효가 예상보다 빨리 돌면서 /함께 사고를 당했습니다. 맞습니까?
narration	나레이션	(대리는 눈물을 흘리기 시작하고, 경찰은 이렇게밖에 /결론이 나지 않는다며 조사를 마무리했다.)
endScene		
image		
background		Background_Black
narration	나레이션	(며칠 뒤, 경찰은 류규원을 범인으로 지목한 뒤 수사를 종결했다./대리는 몇 년의 징역형을 선고받았다.)
result		11
